cs,species,extant,community,class
6,bromeliohyla_melacaena,1,Assemblage,Amphibians
6,bolitoglossa_diaphora,1,Assemblage,Amphibians
6,hypopachus_variolosus,1,Assemblage,Amphibians
6,incilius_campbelli,1,Assemblage,Amphibians
6,lithobates_vaillanti,1,Assemblage,Amphibians
6,gymnopis_multiplicata,1,Assemblage,Amphibians
7,rheobatrachus_silus,0,Assemblage,Amphibians
7,litoria_brevipalmata,1,Assemblage,Amphibians
7,litoria_balatus,1,Assemblage,Amphibians
7,crinia_parinsignifera,1,Assemblage,Amphibians
7,cyclorana_brevipes,1,Assemblage,Amphibians
7,litoria_nasuta,1,Assemblage,Amphibians
7,mixophyes_fasciolatus,1,Assemblage,Amphibians
7,limnodynastes_salmini,1,Assemblage,Amphibians
7,litoria_fallax,1,Assemblage,Amphibians
7,uperoleia_laevigata,1,Assemblage,Amphibians
7,litoria_tyleri,1,Assemblage,Amphibians
7,uperoleia_rugosa,1,Assemblage,Amphibians
7,mixophyes_fleayi,1,Assemblage,Amphibians
7,litoria_latopalmata,1,Assemblage,Amphibians
7,limnodynastes_tasmaniensis,1,Assemblage,Amphibians
7,litoria_verreauxii,1,Assemblage,Amphibians
7,litoria_pearsoniana,1,Assemblage,Amphibians
7,crinia_tinnula,1,Assemblage,Amphibians
7,assa_darlingtoni,1,Assemblage,Amphibians
7,mixophyes_iteratus,1,Assemblage,Amphibians
7,litoria_wilcoxii,1,Assemblage,Amphibians
7,pseudophryne_major,1,Assemblage,Amphibians
7,rhinella_marina,1,Assemblage,Amphibians
7,platyplectrum_ornatum,1,Assemblage,Amphibians
7,crinia_signifera,1,Assemblage,Amphibians
7,litoria_peronii,1,Assemblage,Amphibians
7,limnodynastes_dumerilii,1,Assemblage,Amphibians
7,limnodynastes_peronii,1,Assemblage,Amphibians
7,cyclorana_alboguttata,1,Assemblage,Amphibians
7,litoria_freycineti,1,Assemblage,Amphibians
7,uperoleia_fusca,1,Assemblage,Amphibians
7,litoria_gracilenta,1,Assemblage,Amphibians
7,litoria_chloris,1,Assemblage,Amphibians
7,limnodynastes_terraereginae,1,Assemblage,Amphibians
7,litoria_rubella,1,Assemblage,Amphibians
7,adelotus_brevis,1,Assemblage,Amphibians
7,litoria_rothii,1,Assemblage,Amphibians
7,pseudophryne_raveni,1,Assemblage,Amphibians
7,litoria_caerulea,1,Assemblage,Amphibians
8,oophaga_speciosa,0,Assemblage,Amphibians
8,pristimantis_altae,1,Assemblage,Amphibians
