"","case_study","extinct_species_group","extant","species_name","species","extant.1","class","genus","IUCN","IUCN_year","AB_Leaves","AB_Flowers","AB_Seeds","AB_Fruits","AB_Arthro","AB_Vert","amphi_diet_breadth","amphi_diet_comments","AB_Body_mass_g","mammalBodyMass.Value","reptt_Diet","reptt_DietComments","reptile_diet_breadth","reptt_MaximumBodyMass_g","mammal_diet_breadth","X","X.1","global_range_size_km2","global_range_size_log","range_centroid_lon","range_centroid_lat","human.footprint.1993.Venter_30arcseconds","WDPA_30arcseconds","overlap_area_km2","overlap_pct_extinct_range","overlap_pct_extant_range"
"38","CS_006","Craugastor_omoaensis",FALSE,"Hypopachus variolosus","Hypopachus variolosus",1,"Amphibians","Hypopachus","LC",2020,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",759251.162329576,5.88038546544764,-94.7061829196124,18.9075299424003,7.63437016982697,3.28398901900077,32.2793152435807,100,0.00425146734639689
"39","CS_006","Craugastor_omoaensis",FALSE,"Rhinella horribilis","Rhinella horribilis",1,"Amphibians","Rhinella","LC",2023,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",1893889.48723993,6.2773546333356,-89.3244959341645,14.6783018899554,7.68899817595384,3.08226646725667,32.2793152435807,100,0.00170439275686689
"40","CS_006","Craugastor_omoaensis",FALSE,"Incilius campbelli","Incilius campbelli",1,"Amphibians","Incilius","LC",2020,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",590.265634514364,2.77104749917032,-88.3313767377567,15.4513602728529,9.6391666730245,0,32.2793152435807,100,5.46860825976058
"41","CS_006","Craugastor_omoaensis",FALSE,"Leptodactylus fragilis","Leptodactylus fragilis",1,"Amphibians","Leptodactylus","LC",2021,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",1556429.57475073,6.19212947452763,-82.3492802792182,13.3294834892183,7.51455954510423,5.37315447589447,32.2793152435807,100,0.00207393355711263
"42","CS_006","Craugastor_omoaensis",FALSE,"Craugastor chac","Craugastor chac",1,"Amphibians","Craugastor","LC",2020,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",1956.05503017343,3.29138106873608,-87.7117216358876,15.576488212585,7.7029166618983,0,32.2793152435807,100,1.65022531297183
"43","CS_006","Craugastor_omoaensis",FALSE,"Craugastor chac","Craugastor chac",1,"Amphibians","Craugastor","LC",2020,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",1956.05503017343,3.29138106873608,-87.7117216358876,15.576488212585,7.7029166618983,0,32.2793152435807,100,1.65022531297183
"44","CS_006","Craugastor_omoaensis",FALSE,"Lithobates vaillanti","Lithobates vaillanti",1,"Amphibians","Lithobates","LC",2020,NA,NA,NA,NA,1,1,"","",125,NA,NA,NA,NA,NA,NA,NA,"",507090.898464288,5.70508581567071,-84.7208364115914,12.1960248547772,6.67004951415184,6.85112633058507,32.2793152435807,100,0.00636558757834893
"45","CS_006","Craugastor_omoaensis",FALSE,"Lithobates vaillanti","Lithobates vaillanti",1,"Amphibians","Lithobates","LC",2020,NA,NA,NA,NA,1,1,"","",125,NA,NA,NA,NA,NA,NA,NA,"",507090.898464288,5.70508581567071,-84.7208364115914,12.1960248547772,6.67004951415184,6.85112633058507,32.2793152435807,100,0.00636558757834893
"46","CS_006","Craugastor_omoaensis",FALSE,"Bolitoglossa mexicana","Bolitoglossa mexicana",1,"Amphibians","Bolitoglossa","LC",2020,NA,NA,NA,NA,1,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",204003.439394548,5.30963748947238,-88.8614779322943,15.8234359262526,6.74075609696348,1.4451642079393,32.2793152435807,100,0.0158229269758299
"47","CS_006","Craugastor_omoaensis",FALSE,"Dermophis mexicanus","Dermophis mexicanus",1,"Amphibians","Dermophis","LC",2020,NA,NA,NA,NA,NA,NA,"generalist","Wake, M. H. (2003). ''Mexican caecilian, Dermophis mexicanus.'' Grzimek's Animal Life Encyclopedia, Volume 6, Amphibians. 2nd edition. M. Hutchins, W. E. Duellman, and N. Schlager, eds., Gale Group, Farmington Hills, Michigan.",NA,NA,NA,NA,NA,NA,NA,NA,"",17060.4266009582,4.23198988662786,-87.8830315473887,15.4489525361434,9.12801026811405,0,32.2793152435807,100,0.189205791851463
"48","CS_006","Craugastor_omoaensis",TRUE,"Craugastor omoaensis","Craugastor omoaensis",0,"Amphibians","Craugastor","EX",2019,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",32.2793152435807,1.50892431325299,-88.1340404900724,15.484680613919,11.7700001001358,0,32.2793152435807,100,100
