"","Longitude(x)","Latitude(y)","cropland_2arcmin_mean","built_mean","wc2.1_2.5m_elev_mean","Tree_loss_mean","trees_mean","wildareas-v3-2009-human-footprint_mean","maximum_temperature_mean_mean","Built_mean","Cropland_mean","Forestlandcover_mean","layer_mean","extinct_species_group","binomial_name","Presence","habitat_breadth","diet_breadth","body_mass_g","body_size_mm","trophic_level","global_range_size_km2","extinct"
"37",-107.059563873,25.9786470350001,0.00777252484112978,0.000993452267721295,1834.18054199219,0.00632273592054844,0.837506592273712,3.66244196891785,26.6126327514648,9.13210824364796e-05,0.00463640270754695,0.0556813813745975,1,"Craugastor omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
"38",-107.059563873,25.9786470350001,0.00777252484112978,0.000993452267721295,1834.18054199219,0.00632273592054844,0.837506592273712,3.66244196891785,26.6126327514648,9.13210824364796e-05,0.00463640270754695,0.0556813813745975,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"39",-107.059563873,25.9786470350001,0.00777252484112978,0.000993452267721295,1834.18054199219,0.00632273592054844,0.837506592273712,3.66244196891785,26.6126327514648,9.13210824364796e-05,0.00463640270754695,0.0556813813745975,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"40",-101.059563873,25.9786470350001,0.00825267843902111,0.0106078423559666,1131.93029785156,0.00119965488556772,0.0215562768280506,6.36773109436035,28.0398445129395,0.00518439011648297,3.04403602058301e-05,0,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"41",-101.059563873,25.9786470350001,0.00825267843902111,0.0106078423559666,1131.93029785156,0.00119965488556772,0.0215562768280506,6.36773109436035,28.0398445129395,0.00518439011648297,3.04403602058301e-05,0,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"42",-100.059563873,25.9786470350001,0.0297030881047249,0.0637206509709358,549.558410644531,0.0343173742294312,0.179298132658005,11.1971673965454,29.5746555328369,0.0435249768197536,0.0267264619469643,0.0351131185889244,1,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"43",-100.059563873,25.9786470350001,0.0297030881047249,0.0637206509709358,549.558410644531,0.0343173742294312,0.179298132658005,11.1971673965454,29.5746555328369,0.0435249768197536,0.0267264619469643,0.0351131185889244,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"44",-100.059563873,25.9786470350001,0.0297030881047249,0.0637206509709358,549.558410644531,0.0343173742294312,0.179298132658005,11.1971673965454,29.5746555328369,0.0435249768197536,0.0267264619469643,0.0351131185889244,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"45",-99.0595638729999,25.9786470350001,0.0617434084415436,0.0082452604547143,137.269348144531,0.0197602473199368,0.13237676024437,6.4944953918457,30.5969696044922,0.00413225730881095,0.0406460091471672,0.000639878737274557,1,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"46",-99.0595638729999,25.9786470350001,0.0617434084415436,0.0082452604547143,137.269348144531,0.0197602473199368,0.13237676024437,6.4944953918457,30.5969696044922,0.00413225730881095,0.0406460091471672,0.000639878737274557,1,"Craugastor omoaensis","Leptodactylus_fragilis",1,"generalist","",NA,43,"",NA,0
"47",-99.0595638729999,25.9786470350001,0.0617434084415436,0.0082452604547143,137.269348144531,0.0197602473199368,0.13237676024437,6.4944953918457,30.5969696044922,0.00413225730881095,0.0406460091471672,0.000639878737274557,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"48",-99.0595638729999,25.9786470350001,0.0617434084415436,0.0082452604547143,137.269348144531,0.0197602473199368,0.13237676024437,6.4944953918457,30.5969696044922,0.00413225730881095,0.0406460091471672,0.000639878737274557,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"49",-98.0595638729999,25.9786470350001,0.558714985847473,0.0478450283408165,42.6865119934082,0.00961622595787048,0.103390373289585,14.0521049499512,28.8950481414795,0.03012815117836,0.539814114570618,0,1,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"50",-98.0595638729999,25.9786470350001,0.558714985847473,0.0478450283408165,42.6865119934082,0.00961622595787048,0.103390373289585,14.0521049499512,28.8950481414795,0.03012815117836,0.539814114570618,0,1,"Craugastor omoaensis","Leptodactylus_fragilis",1,"generalist","",NA,43,"",NA,0
"51",-98.0595638729999,25.9786470350001,0.558714985847473,0.0478450283408165,42.6865119934082,0.00961622595787048,0.103390373289585,14.0521049499512,28.8950481414795,0.03012815117836,0.539814114570618,0,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"52",-98.0595638729999,25.9786470350001,0.558714985847473,0.0478450283408165,42.6865119934082,0.00961622595787048,0.103390373289585,14.0521049499512,28.8950481414795,0.03012815117836,0.539814114570618,0,1,"Craugastor omoaensis","Rhinophrynus_dorsalis",1,"specialist","specialist",90,89,"carnivore",NA,0
"53",-98.0595638729999,25.9786470350001,0.558714985847473,0.0478450283408165,42.6865119934082,0.00961622595787048,0.103390373289585,14.0521049499512,28.8950481414795,0.03012815117836,0.539814114570618,0,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"54",-97.0595638729999,25.9786470350001,0.0633661672472954,0.0174866765737534,6.16601228713989,0.0013533973833546,0.0356175005435944,3.54538297653198,-6452.27197265625,0.0172519646584988,0.028198329731822,0,1,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"55",-97.0595638729999,25.9786470350001,0.0633661672472954,0.0174866765737534,6.16601228713989,0.0013533973833546,0.0356175005435944,3.54538297653198,-6452.27197265625,0.0172519646584988,0.028198329731822,0,1,"Craugastor omoaensis","Leptodactylus_fragilis",1,"generalist","",NA,43,"",NA,0
"56",-97.0595638729999,25.9786470350001,0.0633661672472954,0.0174866765737534,6.16601228713989,0.0013533973833546,0.0356175005435944,3.54538297653198,-6452.27197265625,0.0172519646584988,0.028198329731822,0,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"57",-97.0595638729999,25.9786470350001,0.0633661672472954,0.0174866765737534,6.16601228713989,0.0013533973833546,0.0356175005435944,3.54538297653198,-6452.27197265625,0.0172519646584988,0.028198329731822,0,1,"Craugastor omoaensis","Rhinophrynus_dorsalis",1,"specialist","specialist",90,89,"carnivore",NA,0
"58",-97.0595638729999,25.9786470350001,0.0633661672472954,0.0174866765737534,6.16601228713989,0.0013533973833546,0.0356175005435944,3.54538297653198,-6452.27197265625,0.0172519646584988,0.028198329731822,0,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"59",-109.059563873,24.9786470350001,0.0247656144201756,0.000528454489540309,5.27771425247192,0.000216347048990428,0.002551682991907,0.40856060385704,-9367.3115234375,0.000173178326804191,0.0141282835975289,0,1,"Craugastor omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
"60",-109.059563873,24.9786470350001,0.0247656144201756,0.000528454489540309,5.27771425247192,0.000216347048990428,0.002551682991907,0.40856060385704,-9367.3115234375,0.000173178326804191,0.0141282835975289,0,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
