"","case_study","extinct_species_group","extinct","species_name","id","order","family","genus","species","habitat_breadth","diet_breadth","body_mass_g","body_size_mm","trophic_level","global_range_size_km2","extinct.1","global_range_size_km2.1","global_range_size_log","range_centroid_lon","range_centroid_lat","cropland_2arcmin","global_built_3arcmin","global_elevation_worldclim_2.5arcmin","global_treecover_3arcmin","human.footprint.1993.30s.Venter","maximumTemperature","wdpa","overlap_area_km2","overlap_pct_extinct_range","overlap_pct_extant_range"
"24",0,"Craugastor_omoaensis",0,"Cryptotriton_nasalis","Anf6222","Caudata","Plethodontidae","Cryptotriton","Cryptotriton_nasalis","specialist","",NA,80,"",NA,0,177.770018709003,2.24985851812371,-88.2107652900706,15.5085525945749,0,0.00160659725941059,1322.75,0.936997227370739,6.32863849765258,28.4258213043213,133.59844983406,32.2793152435516,100,18.1579073220387
"25",0,"Craugastor_omoaensis",0,"Lithobates_maculatus","Anf4878","Anura","","Lithobates","Lithobates_maculatus","specialist","",113,113,"",NA,0,184811.312681956,5.26672855175951,-88.4632491004615,14.5916955243024,0.0249082636365535,0.0102219544053818,891.97690065037,0.671735216264361,9.3033860348457,29.5427627062836,5.26893614703074,32.2793152435516,100,0.0174660927272896
"26",0,"Craugastor_omoaensis",0,"Dendropsophus_microcephalus","Anf2226","Anura","Hylidae","Dendropsophus","Dendropsophus_microcephalus","generalist","",28,32,"",NA,0,4737574.54112976,6.67555605623136,-64.2407925083701,0.791763637530908,0.00593874349753086,0.00174428281953588,171.754967420519,0.760921101711469,2.96692240507361,30.2185097116566,13.1579202719625,32.2793152435516,100,0.000681346857201197
"27",0,"Craugastor_omoaensis",0,"Craugastor_rostralis","Anf1319","Anura","Craugastoridae","Craugastor","Craugastor_rostralis","specialist","",NA,59,"",NA,0,1639.55572432476,3.21472618181995,-88.8417730722736,15.2184026589272,0.00138527133399187,0.00117875514849772,749.166666666667,0.791341357209064,8.55297679112008,29.2106060098719,14.4889309665687,32.2793152435516,100,1.96878427275448
"28",0,"Craugastor_omoaensis",0,"Trachycephalus_vermiculatus","","","","","Trachycephalus_vermiculatus","","",NA,NA,"",NA,0,931017.947032345,5.96895805286318,-85.8224453655602,13.3300116950037,0.0308402360481507,0.00802647370324268,357.469533092981,0.567448187086726,8.40462341376992,25.1909217090692,14.773289333333,32.2793152435516,100,0.00346709914093957
"29",0,"Craugastor_omoaensis",0,"Bromeliohyla_bromeliacia","Anf2169","Anura","Hylidae","Bromeliohyla","Bromeliohyla_bromeliacia","generalist","",NA,35.7,"",NA,0,553.086831264035,2.74279331824597,-88.3534494457109,15.5718214903725,3.72093013855954e-05,0.0014622549077317,806.56,0.897174512638765,9.65126676602086,29.3836750703699,85.8809054347198,32.2793152435516,100,5.83621113700716
"30",0,"Craugastor_omoaensis",0,"Hypopachus_variolosus","Anf4231","Anura","Microhylidae","Hypopachus","Hypopachus_variolosus","generalist","specialist",NA,53,"carnivore",NA,0,759251.162329577,5.88038546544764,-94.7061829196124,18.9075299424003,0.0632926261377175,0.0106117179062178,517.552984716971,0.53078389229832,7.7857212039419,24.3116049586471,11.2312260203226,32.2793152435516,100,0.00425146734639305
"31",0,"Craugastor_omoaensis",0,"Rhinella_horribilis","","","","","Rhinella_horribilis","","",NA,NA,"",NA,0,1893889.48723993,6.2773546333356,-89.3244959341645,14.6783018899554,0.042557346125681,0.00848273357433919,592.974608887973,0.528265879921478,7.81482380446094,23.6446000388002,10.8679236963203,32.2793152435516,100,0.00170439275686535
"32",0,"Craugastor_omoaensis",0,"Incilius_campbelli","Anf0611","Anura","Bufonidae","Incilius","Incilius_campbelli","specialist","",NA,90,"",NA,0,590.26563451443,2.77104749917037,-88.3313767377567,15.4513602728529,3.4090909387239e-05,0.00135000002078414,977.096774193548,0.889204722642899,8.03216783216783,28.8023341178894,80.4715624212988,32.2793152435516,100,5.46860825975505
"33",0,"Craugastor_omoaensis",0,"Leptodactylus_fragilis","Anf3379","Anura","Brachycephalidae","Leptodactylus","Leptodactylus_fragilis","generalist","",NA,43,"",NA,0,1556429.57475073,6.19212947452763,-82.3492802792182,13.3294834892183,0.0321413129717674,0.006840663415874,336.988887260323,0.475634466560254,7.66059437834855,25.5550599854117,12.0798932250358,32.2793152435516,100,0.00207393355711076
"34",0,"Craugastor_omoaensis",0,"Craugastor_chac","Anf1248","Anura","Craugastoridae","Craugastor","Craugastor_chac","specialist","",NA,39,"",NA,0,1956.05503017383,3.29138106873617,-87.7117216358876,15.576488212585,0.00960992909150515,0.0007440801612977,716.033707865169,0.817185425367512,5.70375052675938,30.1169727825728,60.6795282708546,32.2793152435516,100,1.65022531297
"35",0,"Craugastor_omoaensis",0,"Lithobates_vaillanti","Anf4902","Anura","","Lithobates","Lithobates_vaillanti","specialist","specialist",125,125,"carnivore",NA,0,507090.898464289,5.70508581567071,-84.7208364115914,12.1960248547772,0.00963745803602738,0.00332923034081812,344.435046805715,0.650172740790592,6.80656664542283,18.492972648117,15.2451725913569,32.2793152435516,100,0.00636558757834319
"36",0,"Craugastor_omoaensis",0,"Bolitoglossa_mexicana","Anf6148","Caudata","Plethodontidae","Bolitoglossa","Bolitoglossa_mexicana","specialist","specialist",NA,190,"carnivore",NA,0,204003.439394547,5.30963748947238,-88.8614779322943,15.8234359262526,0.0119622060386227,0.00615822093925783,580.583887210473,0.653047170207932,6.83525306114215,29.9061538269114,8.00519509069846,32.2793152435516,100,0.0158229269758157
"37",0,"Craugastor_omoaensis",0,"Dermophis_mexicanus","Anf6637","Gymnophiona","Dermophiidae","Dermophis","Dermophis_mexicanus","generalist","",NA,600,"",NA,0,17060.4266009584,4.23198988662786,-87.8830315473887,15.4489525361434,0.0269567463129451,0.012854552882031,393.463768115942,0.665931635833826,9.42013637023067,31.1066420802121,9.74135063941082,32.2793152435516,100,0.189205791851291
"38",0,"Craugastor_omoaensis",1,"Craugastor_omoaensis","Anf1299","Anura","Craugastoridae","Craugastor","Craugastor_omoaensis","specialist","",NA,30,"",NA,1,32.2793152435516,1.5089243132526,-88.1340404900724,15.484680613919,0,0.000213888895814307,753.5,0.889541685581207,9.925,29.8337841033936,367.966444243725,32.2793152435516,100,100
